WELL	DEPTH	GR	SP	RD	RM	RXO	LAYER	FACES
TZ12	4248.0701	56.692	-44.347	13.814	14.349	21.236	Ps12	»ìºÏÆº
TZ12	4248.1951	58.747	-44.298	13.855	14.2	12.701	Ps12	»ìºÏÆº
TZ12	4248.3201	60.412	-44.103	12.13	12.386	18.13	Ps12	»ìºÏÆº
TZ12	4248.4451	65.502	-43.521	9.366	9.751	18.093	Ps12	»ìºÏÆº
TZ12	4248.5701	72.736	-42.598	7.632	8.033	9.159	Ps12	»ìºÏÆº
TZ12	4248.6951	82.927	-41.631	7.099	7.471	6.374	Ps12	»ìºÏÆº
TZ12	4248.8201	89.377	-41.105	6.946	7.301	3.222	Ps12	»ìºÏÆº
TZ12	4248.9451	91.043	-40.681	7.117	7.492	8.914	Ps12	»ìºÏÆº
TZ12	4249.0701	89.375	-40.401	7.556	7.998	22.077	Ps12	»ìºÏÆº
TZ12	4249.1951	87.892	-41.031	8.039	8.584	12.544	Ps12	»ìºÏÆº
TZ12	4249.3201	92.655	-41.007	7.877	8.471	9.744	Ps12	»ìºÏÆº
TZ12	4249.4451	95.379	-42.021	7.563	8.216	9.096	Ps12	»ìºÏÆº
TZ12	4249.5701	95.567	-42.754	7.547	8.235	15.031	Ps12	»ìºÏÆº
TZ12	4249.6951	92.193	-42.38	7.938	8.675	10.222	Ps12	»ìºÏÆº
TZ12	4249.8201	85.812	-41.069	8.401	9.223	9.951	Ps12	»ìºÏÆº
TZ12	4249.9451	84.031	-41.786	7.534	8.297	9.11	Ps12	»ìºÏÆº
TZ12	4250.0701	89.165	-41.938	7.827	8.538	5.542	Ps12	»ìºÏÆº
TZ12	4250.1951	96.84	-41.789	7.661	8.306	1.472	Ps12	»ìºÏÆº
TZ12	4250.3201	103.248	-41.607	7.252	7.819	9.519	Ps12	»ìºÏÆº
TZ12	4250.4451	105.301	-41.504	7.026	7.528	9.614	Ps12	»ìºÏÆº
TZ12	4250.5701	101.677	-41.392	7.303	7.807	1.442	Ps12	»ìºÏÆº
TZ12	4250.6951	102.859	-41.059	7.268	7.809	1.579	Ps12	»ìºÏÆº
TZ12	4250.8201	105.681	-41.254	7.314	7.855	2.371	Ps12	»ìºÏÆº
TZ12	4250.9451	107.586	-41.623	7.774	8.345	2.813	Ps12	»ìºÏÆº
TZ12	4251.0701	106.824	-42.113	8.592	9.256	11.944	Ps12	»ìºÏÆº
TZ12	4251.1951	103.074	-42.753	9.479	10.291	8.887	Ps12	»ìºÏÆº
TZ12	4251.3201	99.037	-43.523	9.93	10.841	10.511	Ps12	»ìºÏÆº
TZ12	4251.4451	102.065	-44.728	9.931	10.975	11.225	Ps12	»ìºÏÆº
TZ12	4251.5701	103.855	-45.791	9.756	10.916	10.149	Ps12	»ìºÏÆº
TZ12	4251.6951	102.765	-46.738	9.303	10.515	12.531	Ps12	»ìºÏÆº
TZ12	4251.8201	98.89	-47.74	8.64	9.855	11.596	Ps12	»ìºÏÆº
TZ12	4251.9451	93.61	-48.977	7.994	9.224	10.663	Ps12	»ìºÏÆº
TZ12	4252.0701	88.996	-49.976	7.448	8.581	8.02	Ps12	»ìºÏÆº
TZ12	4252.1951	84.378	-50.758	7.257	8.385	6.324	Ps12	»ìºÏÆº
TZ12	4252.3201	77.664	-51.273	7.619	8.82	7.14	Ps12	»ìºÏÆº
TZ12	4252.4451	71.242	-51.108	8.465	9.746	7.547	Ps12	»ìºÏÆº
TZ12	4252.5701	67.514	-50.314	9.697	11.012	9.782	Ps12	»ìºÏÆº
TZ12	4252.6951	65.979	-50.16	11.382	12.704	15.156	Ps12	»ìºÏÆº
TZ12	4252.8201	66.042	-49.906	13.011	14.644	11.473	Ps12	»ìºÏÆº
TZ12	4252.9451	68.27	-49.573	13.546	15.399	14.815	Ps12	»ìºÏÆº
