DEPTH	GR	FACES	FACES2
4185.0292	92.793	Ps12	
4185.1054	101.55	Ps12	
4185.1816	108.608	Ps12	
4185.2578	113.431	Ps12	
4185.334	116.169	Ps12	
4185.4102	117.534	Ps12	
4185.4864	118.307	Ps12	
4185.5626	118.762	Ps12	
4185.6388	118.782	Ps12	
4185.715	118.192	Ps12	
4185.7912	117.286	Ps12	
4185.8674	116.787	Ps12	
4185.9436	117.299	Ps12	
4186.0198	119.015	Ps12	
4186.096	121.567	Ps12	
4186.1722	124.106	Ps12	
4186.2484	125.885	Ps12	
4186.3246	126.498	Ps12	
4186.4008	126.105	Ps12	
4186.477	125.214	Ps12	
4186.5532	124.187	Ps12	
4186.6294	123.154	Ps12	
4186.7056	122.104	Ps12	
4186.7818	121.001	Ps12	
4186.858	119.86	Ps12	
4186.9342	118.815	Ps12	
4187.0104	118.194	Ps12	
4187.0866	118.301	Ps12	
4187.1628	119.227	Ps12	
4187.239	120.585	Ps12	
4187.3152	121.477	Ps12	
4187.3914	120.932	Ps12	
4187.4676	118.37	Ps12	
4187.5438	113.906	Ps12	
4187.62	108.503	Ps12	
4187.6962	103.826	Ps12	
4187.7724	101.234	Ps12	
4187.8486	101.192	Ps12	
4187.9248	103.335	Ps12	
4188.001	106.78	Ps12	
4188.0772	110.623	Ps12	
4188.1534	114.028	Ps12	
4188.2296	116.22	Ps12	
4188.3058	116.506	Ps12	
4188.382	114.444	Ps12	
4188.4582	109.995	Ps12	
4188.5344	103.6	Ps12	
4188.6106	96.365	Ps12	
4188.6868	89.838	Ps12	
4188.763	85.259	Ps12	
4188.8392	83.363	Ps12	
4188.9154	84.308	Ps12	
4188.9916	87.578	Ps12	
4189.0678	91.972	Ps12	
4189.144	96.118	Ps12	
4189.2202	98.801	Ps12	
4189.2964	99.54	Ps12	
4189.3726	98.701	Ps12	
4189.4488	97.057	Ps12	
4189.525	95.413	Ps12	
4189.6012	94.429	Ps12	
4189.6774	94.541	Ps12	
4189.7536	95.833	Ps12	
4189.8298	98.261	Ps12	
4189.906	101.56	Ps12	
4189.9822	104.871	Ps12	
4190.0584	106.94	Ps12	
4190.1346	106.574	Ps12	
4190.2108	103.197	Ps12	
4190.287	97.271	Ps12	
4190.3632	89.999	Ps12	
4190.4394	82.769	Ps12	
4190.5156	76.704	Ps12	
4190.5918	72.311	Ps12	
4190.668	69.444	Ps12	
4190.7442	67.555	Ps12	
4190.8204	66.21	Ps12	
4190.8966	65.409	Ps12	
4190.9728	65.706	Ps12	
4191.049	67.865	Ps12	
4191.1252	72.481	Ps12	
4191.2014	79.486	Ps12	
4191.2776	87.796	Ps12	
4191.3538	95.369	Ps12	
4191.43	100.158	Ps12	
4191.5062	101.03	Ps12	
4191.5824	98.272	Ps12	
4191.6586	93.206	Ps12	
4191.7348	87.392	Ps12	
4191.811	82.159	Ps12	
4191.8872	78.354	Ps12	
4191.9634	76.183	Ps12	
4192.0396	75.308	Ps12	
4192.1158	75.168	Ps12	
4192.192	75.306	Ps12	
4192.2682	75.366	Ps12	
4192.3444	75.098	Ps12	
4192.4206	74.455	Ps12	
4192.4968	73.846	Ps12	
4192.573	74.124	Ps12	
4192.6492	76.092	Ps12	
4192.7254	80.138	Ps12	
4192.8016	86.093	Ps12	
4192.8778	93.233	Ps12	
4192.954	100.393	Ps12	
4193.0302	106.265	Ps12	
4193.1064	109.842	Ps12	
4193.1826	110.871	Ps12	
4193.2588	109.848	Ps12	
4193.335	107.727	Ps12	
4193.4112	105.404	Ps12	
4193.4874	103.545	Ps12	
4193.5636	102.497	Ps12	
4193.6398	102.233	Ps12	
4193.716	102.104	Ps12	
4193.7922	101.161	Ps12	
4193.8684	98.502	Ps12	
4193.9446	93.865	Ps12	
4194.0208	87.749	Ps12	
4194.097	81.206	Ps12	
4194.1732	75.358	Ps12	
4194.2494	71.049	Ps12	
4194.3256	68.532	Ps12	
4194.4018	67.526	Ps12	
4194.478	67.471	Ps12	
4194.5542	68.036	Ps12	
4194.6304	69.243	Ps12	
4194.7066	71.271	Ps12	
4194.7828	74.231	Ps12	
4194.859	77.982	Ps12	
4194.9352	82.213	Ps12	
4195.0114	86.51	Ps12	
4195.0876	90.423	Ps12	
4195.1638	93.546	Ps12	
4195.24	95.745	Ps12	
4195.3162	97.103	Ps12	
4195.3924	97.926	Ps12	
4195.4686	98.616	Ps12	
4195.5448	99.569	Ps12	
4195.621	100.998	Ps12	
4195.6972	102.875	Ps12	
4195.7734	104.984	Ps12	
4195.8496	106.994	Ps12	
4195.9258	108.693	Ps12	
4196.002	109.937	Ps12	
4196.0782	110.487	Ps12	
4196.1544	110.186	Ps12	
4196.2306	109.121	Ps12	
4196.3068	107.441	Ps12	
4196.383	105.391	Ps12	
4196.4592	103.227	Ps12	
4196.5354	101.235	Ps12	
4196.6116	99.768	Ps12	
4196.6878	99.13	Ps12	
4196.764	99.57	Ps12	
4196.8402	101.137	Ps12	
4196.9164	103.632	Ps12	
4196.9926	106.379	Ps12	
4197.0688	108.458	Ps12	
4197.145	109.013	Ps12	
4197.2212	107.547	Ps12	
4197.2974	104.091	Ps12	
4197.3736	99.174	Ps12	
4197.4498	93.463	Ps12	
4197.526	87.735	Ps12	
4197.6022	82.703	Ps12	
4197.6784	78.837	Ps12	
4197.7546	76.526	Ps12	
4197.8308	76.035	Ps12	
4197.907	77.403	Ps12	
4197.9832	80.32	Ps12	
4198.0594	84.274	Ps12	
4198.1356	88.719	Ps12	
4198.2118	93.104	Ps12	
4198.288	96.882	Ps12	
4198.3642	99.664	Ps12	
4198.4404	101.146	Ps12	
4198.5166	101.241	Ps12	
4198.5928	100	Ps12	
4198.669	97.614	Ps12	
4198.7452	94.464	Ps12	
4198.8214	90.884	Ps12	
4198.8976	86.998	Ps12	
4198.9738	82.674	Ps12	
4199.05	77.812	Ps12	
4199.1262	72.793	Ps12	
4199.2024	68.268	Ps12	
4199.2786	65.039	Ps12	
4199.3548	64.013	Ps12	
4199.431	65.779	Ps12	
4199.5072	70.44	Ps12	
4199.5834	77.381	Ps12	
4199.6596	85.199	Ps12	
4199.7358	92.109	Ps11	
4199.812	96.62	Ps11	
4199.8882	98.073	Ps11	
4199.9644	96.876	Ps11	
4200.0406	94.288	Ps11	
4200.1168	91.704	Ps11	
4200.193	89.959	Ps11	
4200.2692	89.195	Ps11	
4200.3454	88.99	Ps11	
4200.4216	88.697	Ps11	
4200.4978	87.926	Ps11	
4200.574	86.709	Ps11	
4200.6502	85.329	Ps11	
4200.7264	84.04	Ps11	
4200.8026	82.958	Ps11	
4200.8788	81.891	Ps11	
4200.955	80.599	Ps11	
4201.0312	78.986	Ps11	
4201.1074	77.155	Ps11	
4201.1836	75.398	Ps11	
4201.2598	74.057	Ps11	
4201.336	73.307	Ps11	
4201.4122	73.109	Ps11	
4201.4884	73.205	Ps11	
4201.5646	73.517	Ps11	
4201.6408	74.314	Ps11	
4201.717	76.194	Ps11	
4201.7932	79.589	Ps11	
4201.8694	84.454	Ps11	
4201.9456	90.094	Ps11	
4202.0218	95.357	Ps11	
4202.098	98.957	Ps11	
4202.1742	100.038	Ps11	
4202.2504	98.212	Ps11	
4202.3266	93.781	Ps11	
4202.4028	87.679	Ps11	
4202.479	81.076	Ps11	
4202.5552	74.956	Ps11	
4202.6314	70.054	Ps11	
4202.7076	66.584	Ps11	
4202.7838	64.274	Ps11	
4202.86	62.809	Ps11	
4202.9362	62.199	Ps11	
4203.0124	62.917	Ps11	
